ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
2020;REGIÃO NORDESTE;BA;ETANOL;2904001;BONINAL;178000
2020;REGIÃO NORDESTE;BA;ETANOL;2904050;BONITO;56000
2020;REGIÃO NORDESTE;BA;ETANOL;2904100;BOQUIRA;156000
2020;REGIÃO NORDESTE;BA;ETANOL;2904209;BOTUPORA;83000
2020;REGIÃO NORDESTE;BA;ETANOL;2904308;BREJOES;429000
2020;REGIÃO NORDESTE;BA;ETANOL;2904407;BREJOLANDIA;134000
2020;REGIÃO NORDESTE;BA;ETANOL;2904506;BROTAS DE MACAUBAS;34500
2020;REGIÃO NORDESTE;BA;ETANOL;2904605;BRUMADO;1495000
2020;REGIÃO NORDESTE;BA;ETANOL;2904704;BUERAREMA;1231000
2020;REGIÃO NORDESTE;BA;ETANOL;2904753;BURITIRAMA;128000
2020;REGIÃO NORDESTE;BA;ETANOL;2904803;CAATIBA;60000
2020;REGIÃO NORDESTE;BA;ETANOL;2904902;CACHOEIRA;663000
2020;REGIÃO NORDESTE;BA;ETANOL;2905008;CACULE;485500
2020;REGIÃO NORDESTE;BA;ETANOL;2905107;CAEM;57000
2020;REGIÃO NORDESTE;BA;ETANOL;2905156;CAETANOS;57000
2020;REGIÃO NORDESTE;BA;ETANOL;2905206;CAETITE;1916000
2020;REGIÃO NORDESTE;BA;ETANOL;2905305;CAFARNAUM;190000
2020;REGIÃO NORDESTE;BA;ETANOL;2905503;CALDEIRAO GRANDE;266000
2020;REGIÃO NORDESTE;BA;ETANOL;2905602;CAMACAN;567000
2020;REGIÃO NORDESTE;BA;ETANOL;2905701;CAMACARI;24148452
2020;REGIÃO NORDESTE;BA;ETANOL;2905800;CAMAMU;1197000
2020;REGIÃO NORDESTE;BA;ETANOL;2905909;CAMPO ALEGRE DE LOURDES;144000
2020;REGIÃO NORDESTE;BA;ETANOL;2906006;CAMPO FORMOSO;909000
2020;REGIÃO NORDESTE;BA;ETANOL;2906204;CANARANA;267000
2020;REGIÃO NORDESTE;BA;ETANOL;2906303;CANAVIEIRAS;454000
2020;REGIÃO NORDESTE;BA;ETANOL;2906402;CANDEAL;97000
2020;REGIÃO NORDESTE;BA;ETANOL;2906501;CANDEIAS;4692500
2020;REGIÃO NORDESTE;BA;ETANOL;2906600;CANDIBA;293000
2020;REGIÃO NORDESTE;BA;ETANOL;2906709;CANDIDO SALES;625000
2020;REGIÃO NORDESTE;BA;ETANOL;2906808;CANSANCAO;448000
2020;REGIÃO NORDESTE;BA;ETANOL;2906824;CANUDOS;336000
2020;REGIÃO NORDESTE;BA;ETANOL;2906857;CAPELA DO ALTO ALEGRE;60000
2020;REGIÃO NORDESTE;BA;ETANOL;2906873;CAPIM GROSSO;1605500
2020;REGIÃO NORDESTE;BA;ETANOL;2906899;CARAIBAS;403000
2020;REGIÃO NORDESTE;BA;ETANOL;2906907;CARAVELAS;314000
2020;REGIÃO NORDESTE;BA;ETANOL;2907004;CARDEAL DA SILVA;169000
2020;REGIÃO NORDESTE;BA;ETANOL;2907103;CARINHANHA;430000
2020;REGIÃO NORDESTE;BA;ETANOL;2907202;CASA NOVA;954500
2020;REGIÃO NORDESTE;BA;ETANOL;2907301;CASTRO ALVES;282500
2020;REGIÃO NORDESTE;BA;ETANOL;2907400;CATOLANDIA;207000
2020;REGIÃO NORDESTE;BA;ETANOL;2907509;CATU;1465000
2020;REGIÃO NORDESTE;BA;ETANOL;2907558;CATURAMA;48000
2020;REGIÃO NORDESTE;BA;ETANOL;2907608;CENTRAL;984000
2020;REGIÃO NORDESTE;BA;ETANOL;2907707;CHORROCHO;143000
2020;REGIÃO NORDESTE;BA;ETANOL;2907806;CICERO DANTAS;546000
2020;REGIÃO NORDESTE;BA;ETANOL;2907905;CIPO;687000
2020;REGIÃO NORDESTE;BA;ETANOL;2908002;COARACI;357000
2020;REGIÃO NORDESTE;BA;ETANOL;2908101;COCOS;204000
2020;REGIÃO NORDESTE;BA;ETANOL;2908200;CONCEICAO DA FEIRA;528000
2020;REGIÃO NORDESTE;BA;ETANOL;2908309;CONCEICAO DO ALMEIDA;1742001
2020;REGIÃO NORDESTE;BA;ETANOL;2908408;CONCEICAO DO COITE;1201000
2020;REGIÃO NORDESTE;BA;ETANOL;2908507;CONCEICAO DO JACUIPE;1786500
2020;REGIÃO NORDESTE;BA;ETANOL;2908606;CONDE;406000
2020;REGIÃO NORDESTE;BA;ETANOL;2908705;CONDEUBA;291000
2020;REGIÃO NORDESTE;BA;ETANOL;2908804;CONTENDAS DO SINCORA;50000
2020;REGIÃO NORDESTE;BA;ETANOL;2908903;CORACAO DE MARIA;405000
2020;REGIÃO NORDESTE;BA;ETANOL;2909000;CORDEIROS;95000
2020;REGIÃO NORDESTE;BA;ETANOL;2909109;CORIBE;118000
2020;REGIÃO NORDESTE;BA;ETANOL;2909208;CORONEL JOAO SA;69000
2020;REGIÃO NORDESTE;BA;ETANOL;2909307;CORRENTINA;2678500
2020;REGIÃO NORDESTE;BA;ETANOL;2909406;COTEGIPE;142500
